id,loss
4,1710.9249267578125
6,2116.4521484375
9,9274.359375
12,5936.359375
15,1036.97412109375
17,2611.351806640625
21,2654.6396484375
28,977.322021484375
32,2537.6484375
43,3439.35009765625
46,2852.4091796875
50,1198.7767333984375
54,1533.325439453125
62,2058.69287109375
70,2532.682373046875
71,5204.6572265625
75,2340.072021484375
77,2513.300048828125
81,2801.006591796875
83,2522.6904296875
87,2138.867431640625
97,1732.709716796875
103,1433.6441650390625
119,1365.2174072265625
120,1988.4512939453125
127,1148.945556640625
138,4282.03466796875
141,3651.653076171875
148,773.4671630859375
150,2655.172607421875
151,2284.20263671875
158,1809.4404296875
160,6218.26171875
165,2973.097900390625
168,3672.91259765625
169,3846.782958984375
177,3013.31640625
178,3579.176513671875
184,2188.91796875
194,9328.2646484375
198,1983.9337158203125
203,3926.61767578125
211,2690.43603515625
217,1494.4814453125
219,1718.669189453125
221,4003.001708984375
227,1785.3853759765625
230,1768.30126953125
235,2186.9658203125
240,929.9720458984375
243,3181.97119140625
249,7853.95068359375
253,3057.504638671875
258,1691.880126953125
261,1921.5379638671875
263,3725.26318359375
264,2612.981201171875
265,4380.90966796875
268,1932.0670166015625
271,1319.1846923828125
274,6049.14453125
275,933.01904296875
279,1737.25
282,1796.5360107421875
286,3330.73583984375
288,1385.5247802734375
294,2399.464599609375
296,1248.5377197265625
297,1582.974853515625
300,1007.8052368164062
303,9254.3564453125
314,1461.5028076171875
315,4786.20703125
321,2615.46923828125
323,4416.51171875
330,4023.600830078125
341,2064.010498046875
342,4284.056640625
352,1824.7838134765625
353,3916.385498046875
360,4984.6630859375
361,2414.0615234375
362,3970.676025390625
366,1476.6617431640625
372,3682.947509765625
376,3057.36474609375
377,2470.379638671875
379,1787.18603515625
380,4207.43408203125
387,2019.8043212890625
392,2190.62939453125
394,10146.3154296875
395,1740.4447021484375
397,1743.1763916015625
407,6030.89013671875
411,9129.1455078125
416,2752.052001953125
417,1748.360107421875
419,3879.960693359375
428,5573.70556640625
431,2003.9447021484375
436,8477.345703125
438,1762.2550048828125
445,7063.34326171875
446,6949.08935546875
455,1503.2939453125
456,1509.4447021484375
461,1139.526123046875
463,2122.094970703125
464,3988.9892578125
466,1897.3790283203125
467,1611.373779296875
470,1380.2021484375
475,1710.1337890625
482,3325.708251953125
490,3678.977294921875
496,1994.4071044921875
497,4473.20703125
508,2968.86767578125
510,2158.9169921875
512,2046.5172119140625
513,3355.56298828125
523,2072.412841796875
531,5007.2373046875
532,2624.601806640625
533,1569.1805419921875
537,1433.899169921875
544,5065.21240234375
547,3084.795654296875
556,7946.25
565,1490.1392822265625
566,1364.1463623046875
571,1655.914794921875
573,1572.7274169921875
574,1095.2744140625
581,2237.784423828125
585,2131.90576171875
589,2102.82861328125
597,1904.8023681640625
601,3831.650634765625
602,1987.539306640625
613,1874.7794189453125
616,1733.947021484375
619,2451.692626953125
622,2477.59228515625
623,1943.7591552734375
629,1779.9281005859375
634,1756.359130859375
638,1204.444580078125
642,1334.9022216796875
643,2230.60302734375
645,1211.7947998046875
648,6419.6962890625
652,1511.0859375
664,1280.895751953125
666,2414.328369140625
672,1100.4691162109375
676,2356.033447265625
678,4139.392578125
682,2042.624267578125
686,3130.465087890625
688,2164.808349609375
689,1511.28125
690,1926.03564453125
692,10901.115234375
695,1790.6544189453125
697,4282.07958984375
698,2129.087646484375
706,2857.6708984375
708,1703.3504638671875
712,2988.87158203125
715,4680.4296875
717,1582.1123046875
725,3494.07177734375
729,1342.3602294921875
737,1651.6556396484375
739,6112.720703125
747,3699.048095703125
753,2880.654052734375
758,2320.11279296875
759,2509.8330078125
763,1733.2625732421875
773,4575.470703125
774,2464.060791015625
776,1775.033447265625
788,3323.970703125
790,2697.63232421875
794,1302.7635498046875
801,2898.705810546875
802,1822.5567626953125
805,1524.6661376953125
809,5339.35400390625
812,1908.61376953125
825,2593.18212890625
828,2620.833740234375
